name,description,Type,Owner,Total Number of stalls,Total of Cooked Food Stalls,Total Occupied Cooked Food Stalls,Postcode,Lat/Lang
Adam Road Food Centre,"2, Adam Road, S(289876)",HC,MEWR,32,32,32,289876,Thinking...
Amoy Street Food Centre; Telok Ayer Food Centre,"National Development Building, Annex B, Telok Ayer Street, S(069111)",HC,MEWR*,135,134,114,069111,Thinking...
Bedok Food Centre,"1, Bedok Road, S(469572)",HC,MEWR,32,32,32,469572,Thinking...
Beo Crescent Market,"38A, Beo Crescent, S(169982)",MHC,MEWR,94,32,32,169982,Thinking...
Berseh Food Centre,"166, Jalan Besar, S(208877)",HC,MEWR,66,66,54,208877,Thinking...
Bukit Timah Market,"51, Upper Bukit Timah Road, S(588215)",MHC,MEWR,179,84,84,588215,Thinking...
Commonwealth Crescent Market,"31, Commonwealth Crescent, S(140116)",MHC,MEWR,102,39,37,140116,Thinking...
Dunman Food Centre,"271, Onan Road, S(424768)",HC,MEWR,30,30,28,424768,Thinking...
East Coast Lagoon Food Village,"1220, East Coast Parkway, S(468960)",HC,MEWR,63,63,63,468960,Thinking...
Geylang Serai Market,"Geylang Serai, S(402001)",MHC,MEWR,365,63,63,402001,Thinking...
Golden Mile Food Centre,"505, Beach Road, S(199583)",MHC,MEWR,223,112,111,199583,Thinking...
Holland Village Market & Food Centre,"1, Lorong Mambong, S(277700)",MHC,MEWR,69,21,20,277700,Thinking...
Kallang Estate Fresh Market & Food Centre; Kallang Estate Market,"17, Old Airport Road, S(397972)",MHC,MEWR,94,16,16,397972,Thinking...
Market Street Food Centre; Golden Shoe Food Centre,"50, Market Street, Golden Shoe Multi-Storey Car Park, 2nd/3rd Storey, S(048940)",HC,MEWR*,76,76,63,048940,Thinking...
Maxwell Food Centre; Kim Hua Market,"1, Kadayanallur Street, S(069184)",HC,MEWR,106,106,96,069184,Thinking...
Newton Food Centre; Newton Circus Food Centre,"500, Clemenceau Ave North, S(229495)",HC,MEWR,83,83,79,229495,Thinking...
North Bridge Road Market; North Bridge Road Market/Food Centre,"861, North Bridge Road, S(198783)",MHC,MEWR,119,37,37,198783,Thinking...
Pasir Panjang Food Centre,"121, Pasir Panjang Road, S(118543)",HC,MEWR,45,45,45,118543,Thinking...
Chomp Chomp Food Centre,"20, Kensington Park Road, S(557269)",HC,MEWR,36,36,36,557269,Thinking...
Serangoon Garden Market,"49A, Serangoon Garden Way, S(555945)",MHC,MEWR,82,46,45,555945,Thinking...
Sembawang Hill Food Centre; Jalan Leban Food Centre,"590, Upper Thomson Road, S(574419)",HC,MEWR,36,36,36,574419,Thinking...
Taman Jurong Market & Food Centre,"3, Yung Sheng Road, S(618499)",MHC,MEWR,180,123,123,618499,Thinking...
Tanglin Halt Market,"48A, Tanglin Halt Road, S(148813)",MHC,MEWR,117,28,28,148813,Thinking...
Tiong Bahru Market,"30, Seng Poh Road, S(168898)",MHC,MEWR,342,83,83,168898,Thinking...
Zion Riverside Food Centre,"70, Zion Road, S(247792)",HC,MEWR,32,32,32,247792,Thinking...
Blk 117 Aljunied Market & Food Centre,"Blk 117, Aljunied Ave 2, S(380117)",MHC,HDB,161,79,79,380117,Thinking...
Teck Ghee Court,"Blk 341, Ang Mo Kio Ave 1, S(560341)",MHC,HDB,118,32,32,560341,Thinking...
Chong Boon Market & Food Centre,"Blk 453A, Ang Mo Kio Ave 10, S(561453)",MHC,HDB,222,38,38,561453,Thinking...
Mayflower Market,"Blk 160/162, Ang Mo Kio Ave 4, S(560160/560162)",MHC,HDB,124,40,40,560160/560162,Thinking...
Kebun Baru Market & Food Centre,"Blk 226D, Ang Mo Kio Ave 1, S(564226)",MHC,HDB,111,10,10,564226,Thinking...
Kebun Baru Food Centre,"Blk 226H, Ang Mo Kio Street 22, S(568226)",HC,HDB,29,29,29,568226,Thinking...
Teck Ghee Square,"Blk 409, Ang Mo Kio Ave 10, S(560409)",MHC,HDB,142,40,40,560409,Thinking...
Cheng San Market & Cooked Food Centre,"Blk 527, Ang Mo Kio Ave 10, S(560527)",MHC,HDB,150,50,49,560527,Thinking...
Ang Mo Kio 628 Market ,"Blk 628, Ang Mo Kio Ave 4, S(560628)",MHC,HDB,218,52,52,560628,Thinking...
Blk 724 Ang Mo Kio Market & Food Centre,"Blk 724, Ang Mo Kio Ave 6, S(560724)",MHC,HDB,123,45,45,560724,Thinking...
Blk 216 Bedok North Street 1,"Blk 216, Bedok North Street 1, S(460216)",MHC,HDB,196,82,82,460216,Thinking...
Kaki Bukit 511 Market & Food Centre,"Blk 511, Bedok North Street 3, S(460511)",MHC,HDB,125,42,42,460511,Thinking...
Blk 538 Bedok North Street 3,"Blk 538, Bedok North Street 3, S(460538)",MHC,HDB,124,40,40,460538,Thinking...
85 Fengshan Centre,"Blk 85, Bedok North Street 4, S(460085)",MHC,HDB,HUP,HUP,HUP,460085,Thinking...
Blk 630 Bedok Reservoir Road,"Blk 630, Bedok Reservoir Road, S(470630)",MHC,HDB,111,36,36,470630,Thinking...
Blk 16 Bedok South Road ,"Blk 16, Bedok South Road, S(460016)",MHC,HDB,HUP,HUP,HUP,460016,Thinking...
Bendemeer Market & Food Centre,"Blk 29, Bendemeer Road, S(330029)",MHC,HDB,193,88,88,330029,Thinking...
Blk 120 Bukit Merah Lane Food Centre; Alexandra Village Food Centre,"Blk 120, Bukit Merah Lane, S(150120)",HC,HDB,88,88,88,150120,Thinking...
